Рецептурный справочник радиолюбителя|Михайлов В. В.
Автоматизация управления системами электроснабжения. Электронный учебник|Тельманова Е. Д.
Автоматика|Александровская А. Н.
Микроконтроллеры AVR семейства Classic фирмы Atmel|Евстифеев А. В.
Силовая электроника. От простого к сложному (+CD)|Семенов Б. Ю.
Сетевой и межсетевой обмен данными с микроконтроллерами (+CD)|Иди Ф.
Измерения и контроль в микроэлектронике|Дубовой Н. Д.
Программный ремонт сотовых телефонов|Сотников С. А.
Справочник обмотчика асинхронных электродвигателей|Лихачев В. Л.
Электронные системы связи|Томаси У.
Энциклопедия электронных компонентов. Том 3. Датчики местоположения, присутствия, ориентации, вибрации, жидкости, газа, света, тепла, звука, электричества|Чарльз Платт
Интеллектуальные робототехнические и мехатронные системы|Сырямкин В.И. (ред.)
Применение микроконтроллеров AVR. Схемы, алгоритмы, программы|Баранов В. Н.
Высокочастотные магнитные материалы|Толмасский И. С.
Электронные ключи и нелинейные импульсные усилители|Агаханян Т. М.
Ремонт бытовой техники|Аппаратура
Электрические схемы в радиоэлектронике и приборостроении|Квасницкий В. Н.
Маркировка радиодеталей отечественных и зарубежных. Справочное пособие. Том 1|Садченков Д. А.
Маркировка радиодеталей отечественных и зарубежных. Справочное пособие. Том 2|Садченков Д. А.
В.Я. Володин - Компьютерное моделирование электронных схем (+Видеокурс на DVD)|В.Я. Володин
Микроконтроллеры и их применение в электронной аппаратуре|Шагурин И. И.
Электростанции и электрические сети. Диагностика и контроль электрооборудования|Михеев Г.М
Современные копировальные аппараты. Секреты эксплуатации и ремонта|Платонов М.
Введение в обобщенную спектральную теорию сигналов|Трахтман А. М.
Микросхемы для аудио- и радиоаппаратуры - 3|Аппаратура
LabVIEW. Практический курс для инженеров и разработчиков|Магда Ю. С.
Миллиметровая радиолокация с фрактальной обработкой|Быстрое Р. П.
Микросхемы для управления электродвигателями|Аппаратура
Микроконтроллеры AVR. Вводный курс|Мортон Дж.
Разработка печатных плат в NI Ultiboard|Певницкий С. Ю.
Электропривод. Энергетика электропривода|Васильев Б. Ю.
Практические конструкции антенн|Григоров И. Н.
Оптико-электронные приборы ночного видения|Грузевич Ю. К.
Аналоговые интерфейсы микроконтроллеров|Болл С. Р.
Управление и настройка Wi-Fi в своем доме|Кашкаров А. П.
Радиодетали и узлы|Фролов А. Д.
Анфимов Е.С., Полинин Е.И.(сост.) - Микросхемы для современной импортной автоэлектроники|Анфимов Е.С.
Импульсные источники питания. Теоретические основы проектирования и руководство по практическому применению|Мэк Р.
CodeVisionAVR. Пособие для начинающих (+CD)|Лебедев М. Б.
Ремонт. Сборник (136 книг/124 выпуска)|коллектив
Дискотека своими руками|Семенов Б. Ю.
Ионизирующая радиация. Обнаружение, контроль, защита|Виноградов Ю. А.
Современные стиральные машины|Аппаратура
Микросхемы для современных импортных телевизоров — 4|Аппаратура
Блоки питания ЖК телевизоров LG и PHILIPS|Родин А. В.
Теоретические основы цифровой обработки и представления сигналов|Умняшкин С. В.
Электрорадиоматериалы|Тареев Б. М.
Схемотехника аналоговых и аналого-цифровых электронных устройств|Волович Г. И.
Микросхемы для современных импортных телевизоров — 3|Аппаратура
Современные принтеры. Секреты эксплуатации и ремонта|Аппаратура
Синтез цифровых устройств циклического действия|Гудко Н. И.
Стандарты цифрового телевидения первого поколения|Федоров В. К.
Квартирный вопрос. Домашняя электросеть, шпионские штучки, освещение, сварка и не только...|Корякин-Черняк С.Л.
Радиотехнические цепи и сигналы. Лабораторный компьютеризированный практикум|Каганов В. И.
Ядро Cortex-M3 компании ARM. Полное руководство|Джозеф Ю.
Современные холодильники|Аппаратура
RFID-технологии. Справочное пособие|Финкенцеллер К.
Цифровая мобильная радиосвязь|Галкин В. А.
Миниатюризация приемоусилительной аппаратуры|Цымбалюк В. С.
Миниатюризация и микроминиатюризация радиоэлектронной аппаратуры|ред. Н.А. Барканов
Техническая электроника|Райдер Д.
Микросхемы для современных импортных телефонов - 2|Аппаратура
Источники питания сварочной дуги|Лупачёв В. Г.
Методы и оптико-электронные приборы для автоматического контроля подлинности защитных голограмм|Одиноков С. Б.
500 схем для радиолюбителей. Современные передатчики|Семьян А. П.
500 схем для радиолюбителей. Источники питания (3-е изд.)|Семьян А. П.
500 схем для радиолюбителей. Приемники (2-е изд.)|Семьян А. П.
Источники электропитания|Васильков А. В.
Микросхемы для современных импортных телефонов|Аппаратура
Электроакустика и звуковое вещание|Мишенков С. Л.
ЖК телевизоры|Аппаратура
Силовая электроника. Руководство разработчика|Сукер К.
МикроЭВМ для всех|Скляров В. А.
Микросхемы для современных импульсных источников питания — 2|Аппаратура
Защита объектов телекоммуникаций от электромагнитных воздействий|Кечиев Л. Н.
Из опыта ремонта бюджетных телевизоров|Корниенко Р. В.
Система моделирования и исследования радиоэлектронных устройств Multisim 10|Шестеркин А. Н.
Силовые полупроводниковые ключи. Семейства, характеристики, применение|Воронин П. А.
Телевизоры XXI века|Тюнин Н. А.
Электроприводы с системами числового программного управления|Иванов В. М.
Карманный справочник радиоинженера|Дэвис Дж.
Микросхемы для импульсных источников питания - 3|Аппаратура
Epcos. Индуктивные компоненты|Аппаратура
Портативные ЖК телевизоры. Устройство и ремонт|Тюнин Н. А.
Современные микроволновые печи|Саулов А. Ю.
Зарубежные микросхемы для аудио- и радиотехники - 3|Аппаратура
Схемотехника и применение мощных импульсных устройств|Хансиоахим Блум
Микрокомпьютерные системы управления. Первое знакомство|Суэмацу Ё.
Микросхемы для современных импульсных источников питания|Аппаратура
Современные кондиционеры. Монтаж, эксплуатация и ремонт|Аппаратура
Технология производства вычислительных машин|Майоров С. А.
Карманный справочник инженера электронной техники|Бриндли К.
Системы видеонаблюдения. Основы построения, проектирования и эксплуатации|Пескин А. Е.
Очерки истории и техники космического телевидения|Селиванов А. С.
Электрические цепи и электротехнические устройства. Диагностика неисправностей|Браун М.
Печатные платы. Выбор базовых материалов|Мылов Г. В.
Радиотехника|Сергей Львович Давыдов
Зарубежные микросхемы для управления силовым оборудованием|Аппаратура
Микросхемы для бытовой радиоэлектронной аппаратуры|Аксенов А. И.
Микросхемы для современных мониторов|Тюнин Н. А.
